FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
아이비젼,41,경기,41170,안양시,024427792,411714346238,경기도 안양시 만안구 양화로 148번길 361*2층,126.9104943,37.4062793,다사478342
아이펄짐,41,경기,41360,남양주시,0315777737,413604391266,경기도 남양주시 와부읍 덕소로97번길 97층,127.2132956,37.5861520,다사746541
원에프짐,41,경기,41570,김포시,0267648494,415704427671,경기도 김포시 김포한강7로22번길 174-1401층(마산동),126.6411737,37.6430755,다사242607
원종헬스,41,경기,41190,부천시,0326778333,411903012096,"경기도 부천시 소사로 712지하1층, 원종헬스(원종동)",126.8051508,37.5196033,다사385469
웰니스업,45,전북,45110,전주시,0632837887,451114598291,전라북도 전주시 완산구 원효자길 20웰니스업(효자동2가),127.0908731,35.7977127,다마630557
정립회관,11,서울,11215,광진구,024461237,112153104009,서울 광진구 워커힐로 93정립회관,127.0976313,37.5510878,다사644502
진도헬스,46,전남,46900,진도군,,469004703061,전라남도 진도군 진도읍 남동1길 6-13층,126.2589839,34.4815118,나라860104
짱태권도,29,광주,29110,동구,0625266666,291103159001,광주광역시 동구 갈마로 46무들빌딩 3층(산수동) 짱태권도,126.9354826,35.1615162,다라485852
최무배짐,30,대전,30170,서구,,301704298536,대전광역시 서구 월평중로14번길 15지하1층(월평동),127.3649125,36.3558122,다바878176
코리아짐,26,부산,26350,해운대구,0517034445,263503133029,부산광역시 해운대구 양운로 121-15층(좌동),129.1727209,35.1733481,마라523877
코리아짐,26,부산,26320,북구,0513385026,263204196383,부산광역시 북구 함박봉로7번길 492층,129.0227081,35.2111660,마라385917
탑복싱짐,27,대구,27140,동구,029640808,271404226237,대구광역시 동구 안심로22길 40-13층 탑복싱짐(율하동),128.6953634,35.8633917,마마079636
태전도장,41,경기,41610,광주시,0317684999,416104433057,경기도 광주시 고불로46번길 6유경빌딩2층(중대동),127.2325130,37.3936563,다사763327
트윈스짐,26,부산,26320,북구,0513389679,263202006007,부산광역시 북구 만덕대로 523층 트윈스짐(덕천동),129.0104993,35.2111606,마라374916
필당구장,48,경남,48120,창원시,,481293331006,경상남도 창원시 진해구 냉천로 99201(석동),128.7076902,35.1536961,마라100849
해동검도,27,대구,27290,달서구,0536338304,272903147044,대구광역시 달서구 학산남로 62층 해동검도(상인동),128.5336225,35.8232830,라마933590
해든누리,41,경기,41570,김포시,0278570315,415703209023,경기도 김포시 김포한강3로 2872층 해든누리(장기동),126.6597786,37.6413772,다사258605
파워헬스,47,경북,47130,경주시,0547622444,471304715125,경상북도 경주시 안강읍 구부랑3길 14-6파워헬스,129.1954746,36.0014957,마마528796
휴먼헬스 & 휘트니스 클럽,31,울산,31170,동구,0522019686,311704313070,울산광역시 동구 대학길 713층 휴먼헬스클럽(화정동),129.4216600,35.4988687,마마742242
피트니스 뭅,11,서울,11350,노원구,0238680999,113503000001,서울특별시 노원구 동일로 1365502호(상계동),127.0612598,37.6505982,다사612613
주식회사 렛츠,41,경기,41190,부천시,0322294500,411904352521,"경기도 부천시 중동로254번길 78202, 203호(중동)",126.7731153,37.5015966,다사357449
퍼스트짐 정읍,45,전북,45180,정읍시,0635373144,451803270017,전라북도 정읍시 상동중앙로 493층 퍼스트짐 정읍(상동),126.8682267,35.5612137,다마427296
협동조합 사람,41,경기,41150,의정부시,0318532541,411504343289,경기도 의정부시 용현로105번길 45-19진영빌딩 3층(민락동),127.0866473,37.7430103,다사635715
한국체대 용호 태권도,11,서울,11590,동작구,028133667,115904157526,서울특별시 동작구 양녕로30길 4한국체대 용호 태권도(상도동),126.9445135,37.4992634,다사509445
전주복싱 멋짐 킥복싱무에타이 국제,45,전북,45110,전주시,0632251929,451113266089,전라북도 전주시 완산구 모악로 4746태양빌딩4층 멋짐(평화동1가),127.1322570,35.7930540,다마667552
국가대표 태권왕,47,경북,47110,포항시,0542492050,471113303022,경상북도 포항시 남구 송도로 322층 국가대표 태권왕(송도동),129.3744559,36.0333815,마마688834
금빛호수 태권도,11,서울,11200,성동구,0222322073,112003005001,서울특별시 성동구 동호로 102상가동 604호 금빛호수 태권도(금호동3가),127.0164321,37.5488915,다사572500
볼더박스 클라임,41,경기,41590,화성시,0312225010,415902012013,경기도 화성시 경기대로 10384층 볼더박스 클라임(진안동),127.0350587,37.2084341,다사587122
사랑가득 합기도,41,경기,41570,김포시,0319962485,415704838102,경기도 김포시 김포한강9로12번길 123비호뉴팰리스3차 6층 합기도(구래동),126.6269905,37.6407618,다사229605
석호창조 체육관,41,경기,41270,안산시,0314089596,412714370067,경기도 안산시 상록구 네고지2길 201층 석호창조 체육관(사동),126.8503033,37.2961623,다사424221
세이코츠 유도관,30,대전,30170,서구,,301703166041,"대전광역시 서구 월평북로 113단지 상가 지하1층(월평동, 주공아파트)",127.3690032,36.3632586,다바882184
스포데이 안성점,41,경기,41550,안성시,0316569067,415503208010,경기도 안성시 공도읍 공도로 1593층 스포데이휘트니스,127.1765645,37.0034962,다바712894
아이공간 용인점,41,경기,41460,용인시,026790530,414632203001,"경기도 용인시 기흥구 동백 죽전대로 444C-401, C-406호",127.1515224,37.2779500,다사691199
옥상달빛 풋살장,41,경기,41130,성남시,0317062307,411313178018,경기도 성남시 수정구 수정로 115-1(태평동) 주민신협행복빌딩 6층,127.1332562,37.4416227,다사675381
요가샬라 평화점,45,전북,45110,전주시,0632267769,451113266089,전라북도 전주시 완산구 모악로 4678모악타운 502호 요가샬라(평화동2가),127.1305545,35.7868638,다마666545
